Data,Czas,Produkt,ISIN,Giełda referenc,Miejsce wykonania,Liczba,Kurs,,Wartość lokalna,,Wartość,,Kurs wymian,Opłata transakcyjna,,Razem,,Identyfikator zlecenia
14-02-2022,16:44,ISHARES EMIM,IE00BKM4GZ66,EAM,XAMS,2,31.0290,EUR,-62.06,EUR,-62.06,EUR,,,,-62.06,EUR,6d29713d-21c4-4bae-8b48-bee730dd34e2
31-01-2022,06:45,SHELL PLC,GB00BP6MXD84,EAM,,56,22.7950,EUR,-1276.52,EUR,-1276.52,EUR,,,,-1276.52,EUR,
31-01-2022,06:45,ROYAL DUTCH SHELLA,GB00B03MLX29,EAM,,-56,22.7950,EUR,1276.52,EUR,1276.52,EUR,,,,1276.52,EUR,
03-01-2022,14:39,ISHARES EMIM,IE00BKM4GZ66,EAM,CEUX,5,31.5000,EUR,-157.50,EUR,-157.50,EUR,,,,-157.50,EUR,8d607769-8962-49a5-a7df-a70c9dcae528
22-12-2021,18:25,UNITY SOFTWARE INC. COMMON STOCK,US91332U1016,NSY,MEMX,-1,145.5000,USD,145.50,USD,128.44,EUR,1.1328,-0.50,EUR,127.94,EUR,3d0cba3b-2802-4a23-b53f-17be00fb5778
17-12-2021,14:19,ISHARES EMIM,IE00BKM4GZ66,EAM,XAMS,2,30.7000,EUR,-61.40,EUR,-61.40,EUR,,,,-61.40,EUR,8571f7d0-4f33-47da-9ad1-f0473b9a9a45
03-12-2021,11:14,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,6,101.0000,EUR,-606.00,EUR,-606.00,EUR,,,,-606.00,EUR,03be929e-7449-49aa-b4c3-96ed55327794
02-12-2021,16:24,BANDWIDTH INC. - CLASS,US05988J1034,NDQ,XNAS,-2,67.5000,USD,135.00,USD,119.13,EUR,1.1332,,,119.13,EUR,4720e107-5376-4cce-8b14-faa23e242082
01-12-2021,21:27,TORO COMPANY (THE) COM,US8910921084,NSY,BATS,-3,101.5700,USD,304.71,USD,269.35,EUR,1.1313,,,269.35,EUR,a402f892-3d35-4fac-9665-c97b4fe3ffa1
01-12-2021,21:14,PINTEREST INC. CLASS A COMMON STOCK,US72352L1061,NSY,CDED,-8,37.8200,USD,302.56,USD,267.42,EUR,1.1314,,,267.42,EUR,5a123896-b79a-41e8-bf3e-f497db211a4e
24-11-2021,18:34,ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,1,134.4300,USD,-134.43,USD,-120.12,EUR,1.1191,,,-120.12,EUR,4f02aaf3-821a-4f8f-a13b-bdc59c87c267
18-11-2021,20:32,UNITY SOFTWARE INC. COMMON STOCK,US91332U1016,NSY,CDED,1,200.4900,USD,-200.49,USD,-176.32,EUR,1.1371,-0.50,EUR,-176.82,EUR,905d0dc1-12b5-4fc7-9d6f-ff1903fadc52
17-11-2021,20:01,MASIMO CORPORATION - C,US5747951003,NDQ,SOHO,-1,301.5600,USD,301.56,USD,266.44,EUR,1.1318,-0.50,EUR,265.94,EUR,c6766932-57e9-47dc-aafd-57be0096c16f
17-11-2021,19:55,JFROG LTD. - ORDINARY SHARES,IL0011684185,NDQ,SOHO,-1,36.5000,USD,36.50,USD,32.25,EUR,1.1317,-0.50,EUR,31.75,EUR,c7902669-34e1-4e58-a837-48684018e137
