Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers (U.K.) Ltd.
Statement,Data,BrokerAddress,"Level 20 Heron Tower, 110 Bishopsgate, London EC2N 4AY, UK. Regulated by FCA"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 29, 2020 - December 31, 2020"
Statement,Data,WhenGenerated,"2022-03-04, 15:54:37 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Stocks,USD,ABBV,"2020-02-18, 11:28:37",10,93.43,-934.3,-1,
Trades,SubTotal,,Stocks,USD,ABBV,,10,,-934.3,-1,
Trades,Data,Order,Stocks,USD,AFL,"2020-06-26, 14:51:41",10,34.42,-344.2,-1,
Trades,SubTotal,,Stocks,USD,AFL,,10,,-344.2,-1,
Trades,Data,Order,Stocks,USD,AMZN,"2020-02-24, 15:10:53",1,2019.71,-2019.71,-1,
Trades,Data,Order,Stocks,USD,AMZN,"2020-05-01, 15:10:20",-1,2306.01,2306.01,-1.051081821,
Trades,SubTotal,,Stocks,USD,AMZN,,0,,286.3,-2.051081821,
Trades,Data,Order,Stocks,USD,APPN,"2020-02-13, 14:45:14",10,57.1465,-571.465,-1,
Trades,Data,Order,Stocks,USD,APPN,"2020-02-24, 09:33:29",10,45.385,-453.85,-1,
Trades,Data,Order,Stocks,USD,APPN,"2020-11-27, 11:12:31",-20,195,3900,-1.08857,
Trades,SubTotal,,Stocks,USD,APPN,,0,,2874.685,-3.08857,
Trades,Data,Order,Stocks,USD,ATVI,"2020-10-22, 15:41:06",3,81.04,-243.12,-1,
Trades,SubTotal,,Stocks,USD,ATVI,,3,,-243.12,-1,
Trades,Data,Order,Stocks,USD,BABA,"2020-10-23, 09:30:03",1,306.5,-306.5,-1,
Trades,Data,Order,Stocks,USD,BABA,"2020-12-29, 14:30:41",-1,238.43,238.43,-1.005388303,
Trades,SubTotal,,Stocks,USD,BABA,,0,,-68.07,-2.005388303,
Trades,Data,Order,Stocks,USD,C,"2020-10-02, 10:37:41",6,42.929,-257.574,-1,
Trades,SubTotal,,Stocks,USD,C,,6,,-257.574,-1,
Trades,Data,Order,Stocks,USD,CAT,"2020-02-26, 13:46:05",4,127.81,-511.24,-1,
Trades,Data,Order,Stocks,USD,CAT,"2020-03-12, 15:13:17",2,91.778,-183.556,-1,
Trades,SubTotal,,Stocks,USD,CAT,,6,,-694.796,-2,
Trades,Data,Order,Stocks,USD,COUP,"2020-12-21, 10:43:01",1,353.4,-353.4,-1,
Trades,SubTotal,,Stocks,USD,COUP,,1,,-353.4,-1,
Trades,Data,Order,Stocks,USD,CRWD,"2020-06-04, 13:56:38",3,98,-294,-1,
Trades,Data,Order,Stocks,USD,CRWD,"2020-11-13, 09:37:49",2,135,-270,-1,
Trades,SubTotal,,Stocks,USD,CRWD,,5,,-564,-2,
Trades,Data,Order,Stocks,USD,CSCO,"2020-02-24, 13:57:27",8,44.36,-354.88,-1,
Trades,Data,Order,Stocks,USD,CSCO,"2020-02-28, 15:27:38",8,39.108,-312.864,-1,
Trades,Data,Order,Stocks,USD,CSCO,"2020-08-13, 14:56:55",7,42.535,-297.745,-1,
Trades,SubTotal,,Stocks,USD,CSCO,,23,,-965.489,-3,
Trades,Data,Order,Stocks,USD,CVS,"2020-08-19, 14:47:38",4,65.45,-261.8,-1,
Trades,SubTotal,,Stocks,USD,CVS,,4,,-261.8,-1,
Trades,Data,Order,Stocks,USD,DDOG,"2020-08-07, 09:30:02",3,82.64,-247.92,-1,
