Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Central Europe Zrt.
Statement,Data,BrokerAddress,"Madach Imre ut 13-14, Floor 5, Budapest, 1075, Hungary"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 3, 2022 - March 10, 2022"
Statement,Data,WhenGenerated,"2022-03-11, 15:32:06 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Stocks,CAD,AQN,"2022-02-04, 16:20:00",100,18,-1800,0,A
Trades,SubTotal,,Stocks,CAD,AQN,,100,,-1800,0,
Trades,Data,Order,Stocks,CAD,MFC,"2022-01-28, 16:20:00",-100,26,2600,0,A
Trades,SubTotal,,Stocks,CAD,MFC,,-100,,2600,0,
Trades,Total,,Stocks,CAD,,,,,800,0, 
Trades,Total,,Stocks,USD,,,,,625.136,0, 
Trades,Data,Order,Stocks,EUR,4GLDd,"2022-02-14, 03:47:28",20,52.8,-1056,-1.90056,
Trades,SubTotal,,Stocks,EUR,4GLDd,,20,,-1056,-1.90056,
Trades,Total,,Stocks,EUR,,,,,-1056,-1.90056, 
Trades,Total,,Stocks,USD,,,,,-1194.0192,-2.148963192, 
Trades,Data,Order,Stocks,HKD,9988,"2022-01-13, 20:20:01",100,126.9,-12690,-38.496165,
Trades,SubTotal,,Stocks,HKD,9988,,100,,-12690,-38.496165,
Trades,Total,,Stocks,HKD,,,,,-12690,-38.496165, 
Trades,Total,,Stocks,USD,,,,,-1630.1574,-4.945217356, 
Trades,Data,Order,Stocks,RUB,GAZP,"2022-01-28, 09:15:58",-150,330.29,49543.5,-119.77175,
Trades,SubTotal,,Stocks,RUB,GAZP,,-150,,49543.5,-119.77175,
Trades,Total,,Stocks,RUB,,,,,49543.5,-119.77175, 
Trades,Total,,Stocks,USD,,,,,633.6118215,-1.531760911, 
Trades,Data,Order,Stocks,SGD,C2PU,"2022-01-07, 03:06:37",200,5.05,-1010,-2.93228,
Trades,SubTotal,,Stocks,SGD,C2PU,,200,,-1010,-2.93228,
Trades,Data,Order,Stocks,SGD,CY6U,"2022-01-03, 19:58:55",500,1.42,-710,-2.80388,
Trades,Data,Order,Stocks,SGD,CY6U,"2022-01-10, 02:02:39",500,1.36,-680,-2.79104,
Trades,SubTotal,,Stocks,SGD,CY6U,,1000,,-1390,-5.59492,
Trades,Total,,Stocks,SGD,,,,,-2400,-8.5272, 
Trades,Total,,Stocks,USD,,,,,-1769.8985,-6.288341558, 
Trades,Data,Order,Stocks,USD,ABNB,"2022-02-03, 14:22:24",2,151.25,-302.5,-0.35065725,
Trades,SubTotal,,Stocks,USD,ABNB,,2,,-302.5,-0.35065725,
Trades,Data,Order,Stocks,USD,AQN,"2022-01-25, 15:00:10",-100,13.865,1386.5,-0.3903284,
Trades,SubTotal,,Stocks,USD,AQN,,-100,,1386.5,-0.3903284,
Trades,Data,Order,Stocks,USD,CFLT,"2022-01-13, 13:38:04",4,65.88,-263.52,-0.36305725,
Trades,Data,Order,Stocks,USD,CFLT,"2022-02-16, 14:35:07",-4,57.8725,231.49,-0.352757849,
Trades,SubTotal,,Stocks,USD,CFLT,,0,,-32.03,-0.715815099,
Trades,Data,Order,Stocks,USD,HII,"2022-01-05, 09:30:00",2,189.5,-379,-0.34825725,
Trades,SubTotal,,Stocks,USD,HII,,2,,-379,-0.34825725,
Trades,Data,Order,Stocks,USD,INTC,"2022-01-27, 15:13:56",15,48,-720,-0.32175725,
Trades,SubTotal,,Stocks,USD,INTC,,15,,-720,-0.32175725,
Trades,Data,Order,Stocks,USD,MMM,"2022-01-28, 14:03:20",3,163,-489,-0.34725725,
Trades,SubTotal,,Stocks,USD,MMM,,3,,-489,-0.34725725,
Trades,Data,Order,Stocks,USD,MPW,"2022-02-16, 09:30:01",25,20.5,-512.5,-0.38025725,
Trades,SubTotal,,Stocks,USD,MPW,,25,,-512.5,-0.38025725,
Trades,Data,Order,Stocks,USD,NET,"2022-01-24, 11:39:28",3,82.5,-247.5,-0.34725725,
Trades,Data,Order,Stocks,USD,NET,"2022-02-11, 14:51:46",2,104,-208,-0.34825725,
Trades,SubTotal,,Stocks,USD,NET,,5,,-455.5,-0.6955145,
Trades,Data,Order,Stocks,USD,PAYC,"2022-01-26, 12:30:30",1,311,-311,-0.34925725,
Trades,SubTotal,,Stocks,USD,PAYC,,1,,-311,-0.34925725,
Trades,Data,Order,Stocks,USD,SE,"2022-01-28, 12:25:52",2,128,-256,-0.34825725,
Trades,SubTotal,,Stocks,USD,SE,,2,,-256,-0.34825725,
Trades,Data,Order,Stocks,USD,SHOP,"2022-02-16, 14:36:19",1,735,-735,-0.34925725,
Trades,SubTotal,,Stocks,USD,SHOP,,1,,-735,-0.34925725,
Trades,Data,Order,Stocks,USD,SNOW,"2022-02-11, 14:27:13",1,289.95,-289.95,-0.35345725,
Trades,SubTotal,,Stocks,USD,SNOW,,1,,-289.95,-0.35345725,
Trades,Data,Order,Stocks,USD,SPOT,"2022-01-20, 13:49:11",2,215.18,-430.36,-0.35065725,
Trades,SubTotal,,Stocks,USD,SPOT,,2,,-430.36,-0.35065725,
Trades,Data,Order,Stocks,USD,TEAM,"2022-02-14, 13:23:42",1,320,-320,-0.34835725,
Trades,SubTotal,,Stocks,USD,TEAM,,1,,-320,-0.34835725,
Trades,Data,Order,Stocks,USD,TROW,"2022-02-03, 10:32:52",2,150.71,-301.42,-0.35065725,
Trades,Data,Order,Stocks,USD,TROW,"2022-02-23, 11:02:00",2,143.1,-286.2,-0.34645725,
Trades,Data,Order,Stocks,USD,TROW,"2022-03-04, 12:23:53",1,139.67,-139.67,-0.35045725,
Trades,SubTotal,,Stocks,USD,TROW,,5,,-727.29,-1.04757175,
Trades,Data,Order,Stocks,USD,TTD,"2022-02-14, 12:12:03",4,77.7,-310.8,-0.34265725,
Trades,SubTotal,,Stocks,USD,TTD,,4,,-310.8,-0.34265725,
Trades,Data,Order,Stocks,USD,UPST,"2022-01-12, 13:00:17",2,122.5,-245,-0.34645725,
Trades,Data,Order,Stocks,USD,UPST,"2022-01-27, 13:54:08",2,87.76,-175.52,-0.35065725,
Trades,SubTotal,,Stocks,USD,UPST,,4,,-420.52,-0.6971145,
Trades,Data,Order,Stocks,USD,VTRS,"2022-01-14, 16:20:00",-100,14,1400,-0.02014,A
Trades,SubTotal,,Stocks,USD,VTRS,,-100,,1400,-0.02014,
Trades,Data,Order,Stocks,USD,WPC,"2022-01-03, 10:37:35",3,81.27,-243.81,-0.34605725,
Trades,Data,Order,Stocks,USD,WPC,"2022-01-03, 11:47:55",3,80.44,-241.32,-0.34725725,
Trades,SubTotal,,Stocks,USD,WPC,,6,,-485.13,-0.6933145,
Trades,Total,,Stocks,USD,,,,,-4390.08,-8.449885749, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Equity and Index Options,CAD,AQN 28JAN22 17.5 P,"2022-01-25, 15:25:33",-1,0.18,18,-1.5,
Trades,Data,Order,Equity and Index Options,CAD,AQN 28JAN22 17.5 P,"2022-01-28, 16:20:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,CAD,AQN 28JAN22 17.5 P,,0,,18,-1.5,
Trades,Data,Order,Equity and Index Options,CAD,AQN 04FEB22 18.0 P,"2022-02-01, 12:37:49",-1,0.15,15,-1.5,
Trades,Data,Order,Equity and Index Options,CAD,AQN 04FEB22 18.0 P,"2022-02-04, 16:20:00",1,0,0,0,A;C
Trades,SubTotal,,Equity and Index Options,CAD,AQN 04FEB22 18.0 P,,0,,15,-1.5,
Trades,Data,Order,Equity and Index Options,CAD,MFC 31DEC21 24.5 C,"2021-12-31, 16:20:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,CAD,MFC 31DEC21 24.5 C,,1,,0,0,
Trades,Data,Order,Equity and Index Options,CAD,MFC 28JAN22 26.0 C,"2022-01-06, 12:06:31",-1,0.15,15,-1.5,
Trades,Data,Order,Equity and Index Options,CAD,MFC 28JAN22 26.0 C,"2022-01-28, 16:20:00",1,0,0,0,A;C
Trades,SubTotal,,Equity and Index Options,CAD,MFC 28JAN22 26.0 C,,0,,15,-1.5,
Trades,Data,Order,Equity and Index Options,CAD,MFC 18FEB22 26.5 P,"2022-02-01, 11:33:26",-1,0.56,56,-1.5,
Trades,Data,Order,Equity and Index Options,CAD,MFC 18FEB22 26.5 P,"2022-02-18, 16:20:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,CAD,MFC 18FEB22 26.5 P,,0,,56,-1.5,
Trades,Total,,Equity and Index Options,CAD,,,,,104,-6, 
Trades,Total,,Equity and Index Options,USD,,,,,82.00292,-4.730925, 
Trades,Data,Order,Equity and Index Options,USD,AQN 21JAN22 15.0 C,"2022-01-21, 16:20:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,USD,AQN 21JAN22 15.0 C,,1,,0,0,
Trades,Data,Order,Equity and Index Options,USD,EPD 04FEB22 21.0 P,"2022-01-07, 13:24:56",1,0.09,-9,-0.74135,
Trades,SubTotal,,Equity and Index Options,USD,EPD 04FEB22 21.0 P,,1,,-9,-0.74135,
Trades,Data,Order,Equity and Index Options,USD,IAU 28JAN22 34.0 P,"2022-01-03, 11:06:50",-1,0.35,35,-0.2935285,
Trades,Data,Order,Equity and Index Options,USD,IAU 28JAN22 34.0 P,"2022-01-28, 16:20:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,USD,IAU 28JAN22 34.0 P,,0,,35,-0.2935285,
Trades,Data,Order,Equity and Index Options,USD,KWEB 11MAR22 34.0 P,"2022-02-22, 10:07:08",-1,1.5,150,-0.682095,
Trades,SubTotal,,Equity and Index Options,USD,KWEB 11MAR22 34.0 P,,-1,,150,-0.682095,
Trades,Data,Order,Equity and Index Options,USD,VTRS 14JAN22 14.0 C,"2022-01-14, 16:20:00",1,0,0,0,A;C
Trades,SubTotal,,Equity and Index Options,USD,VTRS 14JAN22 14.0 C,,1,,0,0,
Trades,Data,Order,Equity and Index Options,USD,VTRS 18FEB22 14.0 P,"2022-01-19, 14:13:02",-1,0.25,25,-0.1936575,
Trades,Data,Order,Equity and Index Options,USD,VTRS 18FEB22 14.0 P,"2022-02-18, 16:20:00",1,0,0,0,C;Ep
Trades,SubTotal,,Equity and Index Options,USD,VTRS 18FEB22 14.0 P,,0,,25,-0.1936575,
Trades,Total,,Equity and Index Options,USD,,,,,201,-1.910631, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm in USD,Code
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-01-06, 16:30:00",10.6082,1.2726,-13.49999532,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-01-25, 16:30:00",13.0621,1.2632,-16.50004472,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-01-28, 16:30:00",6.6562,1.277,-8.4999674,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-01-31, 16:30:00","2,046.2773",1.2706,-2599.99993738,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-02-01, 16:30:00",65.387,1.2686,-82.9499482,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-02-06, 19:09:18","-1,412",1.27522,1800.61064,-0.028209473,L
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-02-07, 16:30:00",0.4816,1.2667,-0.61004272,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2022-03-02, 16:30:00",8.6778,1.263,-10.9600614,0,
