Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Central Europe Zrt.
Statement,Data,BrokerAddress,"Madach Imre ut 13-14, Floor 5, Budapest, 1075, Hungary"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2023 - December 31, 2023"
Statement,Data,WhenGenerated,"2024-02-20, 17:21:06 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Stocks,CAD,AQN,"2023-11-29, 15:26:26",-100,8.235,823.5,-0.818,
Trades,SubTotal,,Stocks,CAD,AQN,,-100,,823.5,-0.818,
Trades,Data,Order,Stocks,CAD,CPX,"2023-12-15, 12:14:09",30,37.7,-1131,-1.0534,
Trades,SubTotal,,Stocks,CAD,CPX,,30,,-1131,-1.0534,
Trades,Total,,Stocks,CAD,,,,,-307.5,-1.8714, 
Trades,Total,,Stocks,PLN,,,,,-960.62415,-5.51450804, 
Trades,Data,Order,Stocks,EUR,4GLDd,"2023-01-04, 10:29:16",-20,56.295,1125.9,-1.25,
Trades,SubTotal,,Stocks,EUR,4GLDd,,-20,,1125.9,-1.25,
Trades,Data,Order,Stocks,EUR,FREd,"2023-09-19, 05:02:45",-12,30.4,364.8,-1.25,IA
Trades,SubTotal,,Stocks,EUR,FREd,,-12,,364.8,-1.25,
Trades,Data,Order,Stocks,EUR,NN,"2023-01-11, 11:05:43",27,39.82,-1075.14,-1.5421383,
Trades,Data,Order,Stocks,EUR,NN,"2023-03-20, 04:15:26",36,32.63,-1174.68,-1.25,
Trades,Data,Order,Stocks,EUR,NN,"2023-04-25, 04:15:16",37,33.9,-1254.3,-1.5591585,
Trades,Data,Order,Stocks,EUR,NN,"2023-06-20, 11:21:10",28,32.13,-899.64,-1.5254658,
Trades,SubTotal,,Stocks,EUR,NN,,128,,-4403.76,-5.8767626,
Trades,Data,Order,Stocks,EUR,RUI,"2023-07-11, 05:28:07",40,21.8,-872,-1.58284,
Trades,Data,Order,Stocks,EUR,RUI,"2023-08-23, 03:22:18",9,21.86,-196.74,-1.25,
Trades,SubTotal,,Stocks,EUR,RUI,,49,,-1068.74,-2.83284,
