Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited (formerly Interactive Brokers Central Europe Zrt.)
Statement,Data,BrokerAddress,"North Dock One, 91/92 North Wall Quay, Dublin 1"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2024 - December 31, 2024"
Statement,Data,WhenGenerated,"2025-02-15, 23:31:23 EST"
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Code
Trades,Data,Order,Stocks,USD,ADC,"2024-03-05, 11:57:33",20,57.27,-1145.4,-0.35425725,
Trades,SubTotal,,Stocks,USD,ADC,,20,,-1145.4,-0.35425725,
Trades,Data,Order,Stocks,USD,AMT,"2024-01-30, 12:28:28",2,198.505,-397.01,-0.35065725,
Trades,SubTotal,,Stocks,USD,AMT,,2,,-397.01,-0.35065725,
Trades,Data,Order,Stocks,USD,CCI,"2024-01-30, 12:28:54",5,108.48,-542.4,-0.34075725,
Trades,SubTotal,,Stocks,USD,CCI,,5,,-542.4,-0.34075725,
Trades,Data,Order,Stocks,USD,HSY,"2024-01-19, 10:06:19",3,189.55,-568.65,-0.34725725,
Trades,SubTotal,,Stocks,USD,HSY,,3,,-568.65,-0.34725725,
Trades,Data,Order,Stocks,USD,SBUX,"2024-04-25, 13:10:51",8,87.9,-703.2,-0.33505725,
Trades,SubTotal,,Stocks,USD,SBUX,,8,,-703.2,-0.33505725,
Trades,Data,Order,Stocks,USD,VICI,"2024-01-23, 15:34:02",25,30.848,-771.2,-0.35525725,
Trades,Data,Order,Stocks,USD,VICI,"2024-04-19, 14:04:15",25,27.81,-695.25,-0.32525725,
Trades,SubTotal,,Stocks,USD,VICI,,50,,-1466.45,-0.6805145,
Trades,Data,Order,Stocks,USD,WPC,"2024-01-29, 15:20:03",-11,63.25,695.75,-0.34664925,
Trades,SubTotal,,Stocks,USD,WPC,,-11,,695.75,-0.34664925,
Trades,Total,,Stocks,USD,,,,,-4127.36,-2.75515, 
Trades,Total,,Stocks,PLN,,,,,-16540.67135,-11.064983237, 
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm in PLN,Code
Trades,Data,Order,Forex,CAD,USD.CAD,"2024-01-30, 16:30:00",6.72488431,1.3398,-9.01,0,
Trades,Data,Order,Forex,CAD,USD.CAD,"2024-02-01, 16:30:00",24.09053559,1.3387,-32.25,0,
